newLat,newLng,geometry,
22.862214623,120.200351192,c(120.200351192,22.862214623)
22.862214623,120.240358512,c(120.240358512,22.862214623)
22.862214623,120.280365832,c(120.280365832,22.862214623)
22.862214623,120.320373152,c(120.320373152,22.862214623)
22.862214623,120.360380472,c(120.360380472,22.862214623)
22.862214623,120.400387792,c(120.400387792,22.862214623)
22.862214623,120.440395112,c(120.440395112,22.862214623)
22.862214623,120.480402432,c(120.480402432,22.862214623)
22.862214623,120.520409752,c(120.520409752,22.862214623)
22.862214623,120.560417072,c(120.560417072,22.862214623)
22.862214623,120.600424392,c(120.600424392,22.862214623)
22.862214623,120.640431712,c(120.640431712,22.862214623)
22.862214623,120.680439032,c(120.680439032,22.862214623)
22.862214623,120.720446352,c(120.720446352,22.862214623)
22.862214623,120.760453672,c(120.760453672,22.862214623)
22.862214623,120.800460992,c(120.800460992,22.862214623)
22.862214623,120.840468312,c(120.840468312,22.862214623)
22.862214623,120.880475632,c(120.880475632,22.862214623)
22.862214623,120.920482952,c(120.920482952,22.862214623)
22.862214623,120.960490272,c(120.960490272,22.862214623)
22.862214623,121.000497592,c(121.000497592,22.862214623)
22.862214623,121.040504912,c(121.040504912,22.862214623)
22.862214623,121.080512232,c(121.080512232,22.862214623)
22.862214623,121.120519552,c(121.120519552,22.862214623)
22.862214623,121.160526872,c(121.160526872,22.862214623)
22.862214623,121.200534192,c(121.200534192,22.862214623)
22.9022494530001,120.200351192,c(120.200351192,22.9022494530001)
22.9022494530001,120.240358512,c(120.240358512,22.9022494530001)
22.9022494530001,120.280365832,c(120.280365832,22.9022494530001)
22.9022494530001,120.320373152,c(120.320373152,22.9022494530001)
22.9022494530001,120.360380472,c(120.360380472,22.9022494530001)
22.9022494530001,120.400387792,c(120.400387792,22.9022494530001)
22.9022494530001,120.440395112,c(120.440395112,22.9022494530001)
22.9022494530001,120.480402432,c(120.480402432,22.9022494530001)
22.9022494530001,120.520409752,c(120.520409752,22.9022494530001)
22.9022494530001,120.560417072,c(120.560417072,22.9022494530001)
22.9022494530001,120.600424392,c(120.600424392,22.9022494530001)
22.9022494530001,120.640431712,c(120.640431712,22.9022494530001)
22.9022494530001,120.680439032,c(120.680439032,22.9022494530001)
22.9022494530001,120.720446352,c(120.720446352,22.9022494530001)
22.9022494530001,120.760453672,c(120.760453672,22.9022494530001)
22.9022494530001,120.800460992,c(120.800460992,22.9022494530001)
22.9022494530001,120.840468312,c(120.840468312,22.9022494530001)
22.9022494530001,120.880475632,c(120.880475632,22.9022494530001)
22.9022494530001,120.920482952,c(120.920482952,22.9022494530001)
22.9022494530001,120.960490272,c(120.960490272,22.9022494530001)
22.9022494530001,121.000497592,c(121.000497592,22.9022494530001)
22.9022494530001,121.040504912,c(121.040504912,22.9022494530001)
22.9022494530001,121.080512232,c(121.080512232,22.9022494530001)
22.9022494530001,121.120519552,c(121.120519552,22.9022494530001)
22.9022494530001,121.160526872,c(121.160526872,22.9022494530001)
22.9022494530001,121.200534192,c(121.200534192,22.9022494530001)
22.9022494530001,121.240541512,c(121.240541512,22.9022494530001)
22.942284283,120.200351192,c(120.200351192,22.942284283)
22.942284283,120.240358512,c(120.240358512,22.942284283)
22.942284283,120.280365832,c(120.280365832,22.942284283)
22.942284283,120.320373152,c(120.320373152,22.942284283)
22.942284283,120.360380472,c(120.360380472,22.942284283)
22.942284283,120.400387792,c(120.400387792,22.942284283)
22.942284283,120.440395112,c(120.440395112,22.942284283)
22.942284283,120.480402432,c(120.480402432,22.942284283)
22.942284283,120.520409752,c(120.520409752,22.942284283)
22.942284283,120.560417072,c(120.560417072,22.942284283)
22.942284283,120.600424392,c(120.600424392,22.942284283)
22.942284283,120.640431712,c(120.640431712,22.942284283)
22.942284283,120.680439032,c(120.680439032,22.942284283)
22.942284283,120.720446352,c(120.720446352,22.942284283)
22.942284283,120.760453672,c(120.760453672,22.942284283)
22.942284283,120.800460992,c(120.800460992,22.942284283)
22.942284283,120.840468312,c(120.840468312,22.942284283)
22.942284283,120.880475632,c(120.880475632,22.942284283)
22.942284283,120.920482952,c(120.920482952,22.942284283)
22.942284283,120.960490272,c(120.960490272,22.942284283)
22.942284283,121.000497592,c(121.000497592,22.942284283)
22.942284283,121.040504912,c(121.040504912,22.942284283)
22.942284283,121.080512232,c(121.080512232,22.942284283)
22.942284283,121.120519552,c(121.120519552,22.942284283)
22.942284283,121.160526872,c(121.160526872,22.942284283)
22.942284283,121.200534192,c(121.200534192,22.942284283)
22.942284283,121.240541512,c(121.240541512,22.942284283)
22.942284283,121.280548832,c(121.280548832,22.942284283)
22.9823191130001,120.160343872,c(120.160343872,22.9823191130001)
22.9823191130001,120.200351192,c(120.200351192,22.9823191130001)
22.9823191130001,120.240358512,c(120.240358512,22.9823191130001)
22.9823191130001,120.280365832,c(120.280365832,22.9823191130001)
22.9823191130001,120.320373152,c(120.320373152,22.9823191130001)
22.9823191130001,120.360380472,c(120.360380472,22.9823191130001)
22.9823191130001,120.400387792,c(120.400387792,22.9823191130001)
22.9823191130001,120.440395112,c(120.440395112,22.9823191130001)
22.9823191130001,120.480402432,c(120.480402432,22.9823191130001)
22.9823191130001,120.520409752,c(120.520409752,22.9823191130001)
22.9823191130001,120.560417072,c(120.560417072,22.9823191130001)
22.9823191130001,120.600424392,c(120.600424392,22.9823191130001)
